SKU,Product Name,Category,Price,Facebook Product Link
SC-GAD-001,Smartwatch S9 AMOLED,Smart Accessories,2490,https://sparkcartmall.netlify.app/?product=SC-GAD-001
SC-GAD-002,TWS Earbuds Pro X1,Smart Accessories,1390,https://sparkcartmall.netlify.app/?product=SC-GAD-002
SC-GAD-003,FRB N-27 Smart Neckband,Smart Accessories,890,https://sparkcartmall.netlify.app/?product=SC-GAD-003
SC-GAD-004,Mini Bluetooth Speaker,Smart Accessories,1690,https://sparkcartmall.netlify.app/?product=SC-GAD-004
SC-GAD-005,Power Bank 10000mAh,Smart Accessories,1590,https://sparkcartmall.netlify.app/?product=SC-GAD-005
SC-MOB-001,Fast Charger 20W Type-C,Mobile Accessories,1150,https://sparkcartmall.netlify.app/?product=SC-MOB-001
SC-MOB-002,Type-C Fast Charging Cable 1m,Mobile Accessories,250,https://sparkcartmall.netlify.app/?product=SC-MOB-002
SC-MOB-003,Adjustable Mobile Holder,Mobile Accessories,350,https://sparkcartmall.netlify.app/?product=SC-MOB-003
SC-MOB-004,RGB Gaming Finger Sleeves,Mobile Accessories,450,https://sparkcartmall.netlify.app/?product=SC-MOB-004
SC-MOB-005,Universal Camera Lens Protector,Mobile Accessories,250,https://sparkcartmall.netlify.app/?product=SC-MOB-005
SC-HOM-001,Mini Portable Blender,Home & Kitchen,1450,https://sparkcartmall.netlify.app/?product=SC-HOM-001
SC-HOM-002,Electric Lunch Box,Home & Kitchen,1250,https://sparkcartmall.netlify.app/?product=SC-HOM-002
SC-HOM-003,Mini Sewing Machine,Home & Kitchen,2190,https://sparkcartmall.netlify.app/?product=SC-HOM-003
SC-HOM-004,Oil Sprayer Bottle,Home & Kitchen,390,https://sparkcartmall.netlify.app/?product=SC-HOM-004
SC-HOM-005,Kitchen Storage Organizer Set,Home & Kitchen,850,https://sparkcartmall.netlify.app/?product=SC-HOM-005
SC-GRM-001,Rechargeable Hair Trimmer,Personal Care & Grooming,950,https://sparkcartmall.netlify.app/?product=SC-GRM-001
SC-GRM-002,Hair Straightener Ceramic,Personal Care & Grooming,890,https://sparkcartmall.netlify.app/?product=SC-GRM-002
SC-GRM-003,Hair Curler Styling Tool,Personal Care & Grooming,1090,https://sparkcartmall.netlify.app/?product=SC-GRM-003
